BillboardTitle,BillboardArtist,OriginChart,peakpos_alltime,weeksonchart_alltime,MyPart_id,Song Form,Pre-Chorus Section Lyrics,Tempo,Song Length,Vocal vs. Instrumental Prevalence,First Section Type,Intro Length,"Intro (Instrumental, Vocal)",Verse Count,Pre-Chorus Count,Chorus Count,Vocal Post-Chorus Count,Departure Section,Last Section Type,Outro Length,"Outro (Instrumental, Vocal)",Number of Distinct Sections,Melodic Interval Prevalence,Main Melodic Range (tones),Main Melodic Range,Number of Melodic Themes,Key,"Key (Major, Minor, Major Mode, Minor Mode)",Use of Parallel Mode,%Diatonic Chords,Chord Repetition,Use of Triads,Use of Inverted Chords,Use of 7th Chords,Use of Major 7th Chords,Chord Degree Prevalence,Timbre,Predominantly Acoustic vs Electronic,Prominent Instruments,Song Title Word Count,Song Title Appearances,Person References,Location References,Organization or Brand References,Consumer Goods References,Creative Works Title References,Literal Experiences vs. Abstract,Lyrical Sub Themes defining Lyrical Themes,Lyrical Moods,Use of In-Line Lyric Repetition,Line Repetition,Overall Repetitiveness,Average Word Repetition (Full Song),Common Words Prevalence 1k,Common Words Prevalence 10k,Common Words Prevalence 50k,%Slang Words,%Abbreviations,%Non Dictionary Words,%Profanity Words,Average Consonance Alliteration,Average Assonance Alliteration,Rhyme Density,Percentage of Rhyming Syllables,Average Rhymes per Line,Number Of Rhyme Groups In The Song By ELR,End-of-Line Perfect Rhyme Percentage,End-of-Line Secondary Perfect Rhyme Percentage,End-of-Line Assonance Rhyme Percentage,End-of-Line Consonance Rhyme Percentage,Perfect Rhyme Percentage,Secondary Perfect Rhyme Percentage,Assonance Rhyme Percentage,Consonance Rhyme Percentage,End-of-Line Rhyme Percentage,Mid-Line Rhyme Percentage,Internal Rhyme Percentage,Mid-Word Rhyme Percentage,Lyrical Density,Average Number of Words per Line,Primary Genre,Sub-Genres,Influences,Production Mood,Danceability,Loudness Range
Bad Guy,Billie Eilish,hot-100,1,50,[BillieEilish].BadGuy,ABAB,No Pre-Chorus,135.0406189,3:14,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,3,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",8.5,Mixed-Horizontal,3,G Minor,Minor,1,0.485714286,2.1875,0.285714286,0.1,0.628571429,0.042857143,"%I, %V",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,8,0.093385214,0,0,0.003891051,0.007782101,Both,"Romantic, Egocentric, Sex","Dramatic, Cynical, Nostalgic, Happy, Reluctance, Anger, Sad, Bitter",0.013888889,0.395833333,0.47224457,2.177966102,0.547770701,0.796178344,0.968152866,0,0.015564202,0.011673152,0,0.42662394,0.164270833,0.346938776,0.224489796,1.375,0.274193548,0.102564103,0,0.41025641,0,0.2,0,0.34,0,0.78,0.338709677,0.064516129,0.043478261,1.247766643,4.589285714,Pop,Pop,Alternative Pop,"Party, Relaxed",0.921257555,9.245090485
Bad Things,Machine Gun Kelly x Camila Cabello,hot-100,4,23,[MachineGunKellyXCamilaCabello].BadThings,A-PC-B,,68.6292572,4:03,Vocals Prevalence,Intro,0:14,No Intro,4,3,4,,1,Outro,0:14,No Outro,3,,,,,D Major,Major,1,0.805031447,5.888888889,0.610062893,0.075471698,0.169811321,0.062893082,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,9,,,,,,,"Romantic, Materialized Dream, Drugs or Alcohol Use or Alcohol Use","Dramatic, Reluctance, Anger, Sad, Bitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,"Pop, Hip Hop/Rap","Teen Pop, Classic Hip Hop","Happy, Relaxed",0.780479372,4.29548645
Bandit,Juice WRLD & YoungBoy Never Broke Again,hot-100,10,20,[JuiceWrldAndYoungboyNeverBrokeAgain].Bandit,ABABC,No Pre-Chorus,89.98383331,3:09,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Chorus,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",6,Horizontal,1,F Aeolian,Aeolian,0,0.871794872,6,0.5,0.038461538,0.294871795,0.256410256,"%I, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",1,7,0.059105431,0.001597444,0.00798722,0.00798722,0.004792332,Both,"Sex, Drugs or Alcohol Use or Alcohol Use","Dramatic, Cynical, Bitter",0.058201058,0.174603175,0.391923204,3.165829146,0.408783784,0.783783784,0.969594595,0.006349206,0.007936508,0.088888889,0.03968254,0.841398719,0.594311197,0.354060914,0.170050761,2.126984127,0.096491228,0.12,0,0.1,0,0.269230769,0,0.179487179,0,0.641025641,0.535087719,0.114035088,0.291005291,3.300641267,8.898550725,Hip Hop/Rap,Hip Hop/Rap,Trap,"Party, Relaxed",0.998508394,8.897906303
Bang!,AJR,hot-100,8,35,[Ajr].Bang,ABAB,No Pre-Chorus,139.8319397,2:50,Vocals Prevalence,Chorus,0:00,No Intro,2,0,3,0,0,Chorus,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",8.5,Mixed-Horizontal,2,C# Minor,Minor,1,0.765625,4.740740741,0.46875,0.03125,0.3671875,0.0859375,"%I, %III, %V, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",1,50,0.022038567,0.005509642,0.011019284,0.008264463,0.137741047,Abstract,,"Dramatic, Optimistic",0.117948718,0.34375,0.314994606,3.846938776,0.479262673,0.847926267,0.953917051,0.01061008,0.021220159,0.013262599,0,0.621051931,0.589940211,0.331742243,0.207637232,1.359375,0.168674699,0.523809524,0,0.095238095,0,0.630434783,0,0.043478261,0.02173913,0.456521739,0.481927711,0.036144578,0.268907563,2.156257149,4.771428571,Pop,Pop,Teen Pop,Party,0.997596323,7.915759087
Before You Go,Lewis Capaldi,hot-100,9,52,[LewisCapaldi].BeforeYouGo,A-PC-B,Lyrically Identical,111.8674927,3:35,Vocals Prevalence,Intro,0:19,Instrumental,2,2,3,0,1,Chorus,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",10.25,Mixed-Vertical,2,Eb Major,Major,1,0.888888889,4.5,0.543209877,0.074074074,0.209876543,0.135802469,"%I, %IV, %V, %VI",Mixed,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",3,9,0.003095975,0,0,0,0,Both,Protest,"Cynical, Reluctance, Anger, Sad, Positive, Bitter",0,0.333333333,0.33557869,3.047169811,0.684931507,0.904109589,0.931506849,0,0.003095975,0,0,0.591404059,0.480124224,0.148058252,0.104368932,0.955555556,0.366666667,0.266666667,0,0.466666667,0,0.409090909,0,0.5,0,0.681818182,0.633333333,0.166666667,0.426666667,1.311217199,6.018867925,Pop,"Pop, Rock",Classic Pop,Relaxed,0.389380187,10.41393471
Believer,Imagine Dragons,hot-100,4,52,[ImagineDragons].Believer,ABABC,No Pre-Chorus,125.0300369,3:24,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,1,Outro,0:00,No Outro,3,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,3,Bb Minor,Minor,1,0.744444444,3.6,0.577777778,0.144444444,0.222222222,0.1,"%I, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,18,0.014888337,0.007444169,0,0,0.00248139,Both,"Infatuation, Religion or Spirituality","Dramatic, Cynical, Optimistic, Anger, Sad, Bitter",0.048387097,0.258064516,0.344744455,3.090225564,0.557291667,0.880208333,0.979166667,0,0.02189781,0.065693431,0,1.239643063,1.118422619,0.376923077,0.182692308,1.532258065,0.282051282,0.235294118,0,0.352941176,0,0.288888889,0,0.333333333,0,0.377777778,0.538461538,0.153846154,0.181034483,1.897717199,5.708333333,Rock,"Pop, Rock","Pop, Rock",Party,0.938393593,4.588582993
Better,Khalid,hot-100,8,48,[Khalid].Better,ABABC,No Pre-Chorus,97.90972137,3:49,Both,Intro,0:30,Vocal,3,0,3,0,1,Outro,0:30,Vocal,6,"%P1-%m2, %M2-%m3, %M3-%P5",16,Vertical,1,Eb Major,Major,1,0.879432624,5.222222222,0.418439716,0.078014184,0.354609929,0.14893617,"%III, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",1,19,0.024590164,0.00273224,0,0,0,Abstract,"Infatuation, Love, Egocentric, Sex, Hedonism, Protest, Boasting, Friendship","Optimistic, Reluctance, Positive",0,0.224637681,0.315039578,3.485714286,0.664921466,0.921465969,0.958115183,0,0.019125683,0.016393443,0.00273224,0.48705927,0.289081633,0.419354839,0.149560117,1.108695652,0.341463415,0.055555556,0,0.055555556,0,0.192307692,0,0.115384615,0,0.692307692,0.585365854,0.12195122,0.177419355,1.458213808,5.203703704,Hip Hop/Rap,Hip Hop/Rap,R&B,Relaxed,0.9569906,11.9754734
Better Now,Post Malone,hot-100,3,52,[PostMalone].BetterNow,ABABC,No Pre-Chorus,72.31368255,3:51,Vocals Prevalence,Intro,0:00,No Intro,3,0,4,0,0,Outro,0:00,No Outro,1,"%P1-%m2, %M2-%m3, %M3-%P5",9.5,Mixed-Horizontal,2,Bb Major,Major,1,0.943820225,4.45,0.404494382,0.056179775,0.179775281,0.123595506,"%I, %II, %IV, %V",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,16,0.052941176,0,0.009803922,0.003921569,0.001960784,Both,"Breakup, Empowering, Success, Protest, Introspection, Yearning for Social company, Friendship, Family","Cynical, Optimistic, Nostalgic, Positive, Detached",0.02259887,0.203389831,0.265904762,3.893939394,0.689516129,0.794354839,0.955645161,0.001945525,0.070038911,0.023346304,0.001945525,1.837337894,1.689739229,0.433846154,0.178461538,1.966101695,0.147058824,0.266666667,0,0.4,0,0.314814815,0,0.425925926,0,0.277777778,0.558823529,0.098039216,0.2,2.214753533,7.636363636,Hip Hop/Rap,"Pop, Hip Hop/Rap",Pop,Relaxed,0.95295471,4.487998486
Black Beatles,Rae Sremmurd Featuring Gucci Mane,hot-100,1,27,[RaeSremmurdFeaturingGucciMane].BlackBeatles,ABABC,No Pre-Chorus,72.9846115,4:51,Vocals Prevalence,Intro,0:00,No Intro,3,0,4,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",8.5,Mixed-Horizontal,2,E Minor,Minor,0,0.684210526,4,0.157894737,0.092105263,0.763157895,0.276315789,"%I, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",2,2,0.096825397,0.011111111,0.031746032,0.006349206,0.001587302,Both,"Romantic, Sex, Lifestyle, Yearning for Social company, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical",0.040540541,0.237442922,0.383120826,2.618257261,0.506297229,0.77581864,0.957178841,0,0.042789223,0.047543582,0.011093502,1.296529539,0.429133644,0.254470426,0.162310867,1.616438356,0.168316832,0.245614035,0,0.210526316,0.140350877,0.263736264,0,0.318681319,0.21978022,0.626373626,0.485148515,0.069306931,0.297619048,2.153466022,7.074074074,Hip Hop/Rap,Hip Hop/Rap,Trap,Other,0.962193429,7.756944656
Blank Space,Taylor Swift,hot-100,1,36,[TaylorSwift].BlankSpace,ABABC,No Pre-Chorus,95.95235443,3:51,Both,Intro,0:00,No Intro,3,0,3,0,1,Chorus,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,2,F Major,Major,0,0.789473684,2.923076923,0.592105263,0.131578947,0.355263158,0.131578947,"%I, %II, %IV, %VI",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",2,3,0.041832669,0.001992032,0,0,0.009960159,Both,"Infatuation, Love, Romantic, Materialized Dream, Lifestyle, Friendship","Dramatic, Cynical, Optimistic, Nostalgic, Happy, Anger, Bitter",0,0.420634921,0.345087163,2.760869565,0.551724138,0.793103448,0.875862069,0.003937008,0.037401575,0.019685039,0,0.909429611,0.49203869,0.192629816,0.120603015,0.857142857,0.49122807,0.302325581,0,0.209302326,0.023255814,0.276595745,0,0.319148936,0.085106383,0.914893617,0.385964912,0.035087719,0.191011236,1.863977284,5.52173913,Pop,Pop,Teen Pop,"Party, Relaxed, Melancholic",0.485531479,9.467855453
Blinding Lights,The Weeknd,hot-100,1,84,[TheWeeknd].BlindingLights,A-PC-B,Lyrically Identical,85.42019653,3:20,Vocals Prevalence,Intro,0:33,Vocal,2,2,3,0,1,Outro,0:00,No Outro,7,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",12.5,Vertical,3,C Aeolian,Aeolian,0,0.903225806,4.65,0.688172043,0.032258065,0.204301075,0.107526882,"%I, %III, %IV, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",2,0,0.027027027,0.015444015,0,0.003861004,0,Both,"Infatuation, Love, Empowering, Hedonism, Friendship","Cynical, Anger, Positive",0.057142857,0.219047619,0.413461538,2.726315789,0.629370629,0.79020979,0.979020979,0.015444015,0.007722008,0.054054054,0,0.607767557,0.419081197,0.150170648,0.109215017,0.914285714,0.533333333,0.285714286,0,0.714285714,0,0.5,0,0.388888889,0.111111111,0.388888889,0.533333333,0.066666667,0.384615385,0.986257212,5.333333333,Rock,Rock,"R&B, R&B Pop","Happy, Party",0.872623324,8.995877266
Blueberry Faygo,Lil Mosey,hot-100,8,33,[LilMosey].BlueberryFaygo,ABABC,No Pre-Chorus,98.94335938,2:42,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Outro,0:00,No Outro,,,,,,C Major,Major,,,,,,,,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,5,0.043071161,0.016853933,0.061797753,0.003745318,0.001872659,Abstract,,Other,0.058479532,0.421052632,0.247906807,4.52941176,0.457943925,0.760124611,0.984423676,0.003710575,0.035250464,0.042671614,0.087198516,1.168194444,0.566041667,0.415162455,0.321299639,3.122807018,0.062146893,0.322580645,0,0.080645161,0,0.242236025,0.00621118,0.409937888,0.031055901,0.385093168,0.581920904,0.039548023,0.12745098,2.990855418,7.806451613,Hip Hop/Rap,Hip Hop/Rap,"Trap, Classic Hip Hop",Relaxed,0.97020185,9.123662949
Bodak Yellow (Money Moves),Cardi B,hot-100,1,35,[CardiB].BodakYellowMoneyMoves,ABABC,,62.49167635,3:40,Instruments Prevalence,Intro,0:34,No Intro,3,0,3,,0,Outro,0:34,No Outro,1,,,,,E Minor,Minor,1,0.467741935,1.9375,0.193548387,0.112903226,0.596774194,0.338709677,"%I, %VI",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",4,0,,,,,,,"Sex, Boasting, Lifestyle, Yearning for Social company, Drugs or Alcohol Use or Alcohol Use","Dramatic, Cynical, Detached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Party",0.98314774,5.552029133
Body Like A Back Road,Sam Hunt,hot-100,6,41,[SamHunt].BodyLikeABackRoad,ABABC,No Pre-Chorus,99.0337677,2:45,Vocals Prevalence,Intro,0:11,Instrumental,3,0,3,0,1,Outro,0:11,Instrumental,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11,Mixed-Vertical,1,F Major,Major,1,0.860655738,5.80952381,0.639344262,0.049180328,0.147540984,0.024590164,"%I, %V, %VI",Primarily Bright,Primarily Acoustic,"Guitar, Bass Prevalence, Drums/Perc Prevalence, String Section",5,4,0.037671233,0.02739726,0.003424658,0.003424658,0,Both,,Detached,0,0.197530864,0.411764706,2.728971963,0.549019608,0.875816993,0.960784314,0,0.04109589,0.010273973,0,0.996710199,0.477579365,0.216828479,0.148867314,1.703703704,0.285714286,0.142857143,0,0.714285714,0,0.258064516,0.064516129,0.483870968,0,0.225806452,0.619047619,0.19047619,0.115384615,1.765075681,8,Rock,"Pop, Rock, Country","Classic Pop, Alternative Rock","Happy, Relaxed",0.411455095,6.057432175
Boo'd Up,Ella Mai,hot-100,5,35,[EllaMai].BoodUp,A-PC-B,Lyrically Identical,82.00349426,4:16,Both,Intro,0:00,Vocal,2,2,3,0,1,Outro,0:00,No Outro,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",10.5,Mixed-Vertical,2,Bb Aeolian,Aeolian,0,0.747474747,6.1875,0.232323232,0.050505051,0.727272727,0.222222222,"%I, %II, %VI",Primarily Dark,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence, Piano",2,27,0.048309179,0,0.007246377,0,0,Abstract,"Infatuation, Egocentric, Hedonism, Introspection","Optimistic, Nostalgic, Happy, Reluctance, Anger, Positive",0.040229885,0.25862069,0.280651341,4.465346535,0.765027322,0.890710383,0.918032787,0,0.022172949,0.017738359,0,0.952214688,0.492972702,0.485265226,0.2043222,1.793103448,0.145631068,0.147058824,0,0,0,0.414285714,0,0.142857143,0.014285714,0.485714286,0.59223301,0.077669903,0.04587156,1.865362981,6.696969697,Pop,"Dance/Club/Electronic, Pop","R&B, R&B Pop","Happy, Party",0.996833563,3.247235298
Bounce Back,Big Sean,hot-100,6,28,[BigSean].BounceBack,ABABC,No Pre-Chorus,81.5547409,3:42,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Outro,0:12,Vocal,2,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,7,C# Minor,Minor,1,0.544303797,2.257142857,0.367088608,0.126582278,0.46835443,0.202531646,%I,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,18,0.032448378,0.020648968,0.010324484,0.004424779,0.002949853,Both,"Lifestyle, Religion or Spirituality, Friendship, Drugs or Alcohol Use or Alcohol Use","Dramatic, Cynical, Anger, Detached",0.026217228,0.178571429,0.404137529,2.601532567,0.564885496,0.865139949,0.984732824,0.005891016,0.016200295,0.023564065,0.027982327,2.331220847,1.07121271,0.432397959,0.24872449,2.321428571,0.120218579,0.048192771,0,0.289156627,0.060240964,0.157534247,0,0.404109589,0.047945205,0.568493151,0.453551913,0.092896175,0.21686747,2.99319368,7.098901099,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Party",0.998335183,9.92638588
Boy With Luv,BTS Featuring Halsey,hot-100,8,8,[BtsHalsey].BoyWithLuv,A-PC-B,Lyrically Differentiated,,3:49,,Intro,0:00,No Intro,4,2,3,2,0,Outro,0:00,No Outro,,,,,,B Aeolian,Aeolian,,,,,,,,,,,Other,3,0,,,,,,,"Romantic, Egocentric, Hedonism, Boasting","Cynical, Optimistic, Nostalgic, Reluctance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyfriend,Ariana Grande & Social House,hot-100,8,12,[ArianaGrandeAndSocialHouse].Boyfriend,A-PC-B,Lyrically Identical,95.01026917,3:33,Both,Intro,0:13,Instrumental,2,2,2,0,1,Outro,0:13,Vocal,10,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",10.5,Mixed-Vertical,2,Bb Minor,Minor,1,0.840336134,4.103448276,0.176470588,0.109243697,0.588235294,0.084033613,"%I, %IV, %V, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,19,0.133595285,0,0.011787819,0,0.001964637,Abstract,"Infatuation, Love, Romantic","Optimistic, Happy, Reluctance, Anger, Sad, Bitter",0.102564103,0.169230769,0.309621864,4.138211382,0.528225806,0.798387097,0.85483871,0.001964637,0.080550098,0.009823183,0.001964637,1.298097813,0.149143361,0.371633752,0.204667864,1.753846154,0.119266055,0.16,0,0.1,0,0.113636364,0.159090909,0.227272727,0,0.568181818,0.385321101,0.183486239,0.05785124,2.301577634,6.175675676,Pop,Pop,R&B Pop,"Happy, Party, Relaxed",0.735840678,6.565227509
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,hot-100,2,20,[ArianaGrande].BreakUpWithYourGirlfriendImBored,A-PC-B,Lyrically Identical,84.7977829,3:10,Vocals Prevalence,Intro,0:18,Instrumental,2,2,3,2,1,Chorus,0:18,Instrumental,9,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11,Mixed-Vertical,4,C Aeolian,Aeolian,0,0.796747967,4.92,0.650406504,0.056910569,0.284552846,0.008130081,"%I, %IV, %V",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",7,0,0.085995086,0.00982801,0.00982801,0,0.007371007,Abstract,"Romantic, Egocentric, Materialized Dream, Introspection","Dramatic, Optimistic, Nostalgic, Happy, Reluctance, Anger, Sad, Bitter",0.18079096,0.322033898,0.321288637,3.596491228,0.553097345,0.805309735,0.933628319,0.004878049,0.087804878,0.019512195,0.007317073,0.767677045,0.624206349,0.363207547,0.179245283,1.288135593,0.144927536,0.172413793,0,0.206896552,0,0.230769231,0,0.256410256,0.153846154,0.743589744,0.420289855,0.043478261,0.191489362,2.005321438,5.202898551,Pop,"Pop, Hip Hop/Rap",R&B Pop,"Happy, Party",0.999943078,4.871756554
Broccoli,D.R.A.M. Featuring Lil Yachty,hot-100,5,37,[DRAMFeaturingLilYachty].Broccoli,ABAB,No Pre-Chorus,73.015625,3:45,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,3:09,Instrumental,2,"%P1-%m2, %M2-%m3, %M3-%P5",10,Mixed-Horizontal,4,Eb Major,Major,0,0.795454545,3.826086957,0.613636364,0.079545455,0.238636364,0.090909091,"%I, %IV, %V",Mixed,Primarily Electronic,"Drums/Perc Prevalence, Piano",1,4,0.042622951,0.009836066,0.016393443,0.009836066,0.003278689,Literal,"Boasting, Lifestyle, Yearning for Social company, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical, Detached",0.014705882,0.28125,0.453047776,2.463709677,0.416918429,0.703927492,0.921450151,0.016366612,0.058919804,0.042553191,0.042553191,0.873532021,0.773560005,0.363885089,0.186046512,2.125,0.195121951,0.245901639,0,0.213114754,0.016393443,0.311320755,0.009433962,0.320754717,0.037735849,0.575471698,0.504065041,0.089430894,0.231638418,2.654675009,8.214285714,Hip Hop/Rap,Hip Hop/Rap,Trap,"Party, Relaxed",0.975065112,4.269005299
Butter,BTS,hot-100,1,8,[Bts].Butter,A-PC-B,Lyrically Identical,109.9503784,2:44,Vocals Prevalence,Intro,0:00,Instrumental,2,2,3,0,1,Outro,0:00,Vocal,8,"%P1-%m2, %M2-%m3, %M3-%P5",10,Mixed-Horizontal,3,F Aeolian,Aeolian,0,0.845238095,3.5,0.321428571,0.05952381,0.416666667,0.130952381,"%I, %IV, %VI, %VII",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,5,0.069587629,0.010309278,0.010309278,0.007731959,0.00257732,Both,"Infatuation, Romantic, Egocentric, Lifestyle","Dramatic, Cynical, Happy, Reluctance, Anger, Sad, Bitter",0,0.247311828,0.374933617,3.180327869,0.60251046,0.89539749,0.970711297,0.015463918,0.036082474,0.018041237,0,0.462192718,0.304329004,0.325183374,0.224938875,1.483870968,0.202380952,0.431818182,0,0.068181818,0,0.391891892,0,0.22972973,0.040540541,0.594594595,0.357142857,0.130952381,0.031578947,2.123088193,5,Pop,Pop,Teen Pop,"Party, Relaxed, Melancholic",0.65728569,5.167697906
Cake By The Ocean,DNCE,hot-100,9,46,[Dnce].CakeByTheOcean,A-PC-B,Lyrically Identical,119.0405273,3:39,Vocals Prevalence,Intro,0:43,Vocal,2,2,3,0,1,Outro,0:43,Vocal,5,"%P1-%m2, %M2-%m3, %M3-%P5",9,Mixed-Horizontal,2,A Dorian,Dorian,0,0.624454148,5.585365854,0.593886463,0.082969432,0.266375546,0.061135371,"%I, %II, %III",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",4,10,0.059241706,0.028436019,0.016587678,0,0.018957346,Abstract,"Romantic, Hedonism, Boasting, Introspection","Nostalgic, Happy, Reluctance, Sad, Bitter",0.057692308,0.301282051,0.290157648,3.900826446,0.315789474,0.657894737,0.84962406,0.004237288,0.05720339,0.065677966,0.014830508,0.799847539,0.83953824,0.351449275,0.170289855,1.807692308,0.130434783,0.681818182,0.045454545,0.090909091,0,0.388888889,0.013888889,0.083333333,0.138888889,0.305555556,0.347826087,0.27173913,0.137614679,1.833646235,6.920634921,Pop,"Pop, Rock","DJ Pop, Teen Pop",Party,0.994405985,7.553683281
Call Out My Name,The Weeknd,hot-100,4,18,[TheWeeknd].CallOutMyName,A-PC-B,Lyrically Identical,66.72491455,3:48,Vocals Prevalence,Intro,0:00,No Intro,2,2,2,0,1,Outro,0:12,Vocal,4,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,3,Eb Aeolian,Aeolian,0,0.850574713,4.578947368,0.448275862,0.114942529,0.367816092,0.034482759,"%I, %IV",Primarily Dark,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence",4,12,0.040816327,0.005830904,0.002915452,0,0,Abstract,"Infatuation, Love, Romantic, Egocentric, Hedonism, Protest, Introspection, Friendship","Cynical, Optimistic, Nostalgic, Happy, Reluctance, Anger, Positive",0,0.572649573,0.35821873,4.035294118,0.728476821,0.907284768,0.973509934,0.005830904,0.011661808,0.011661808,0,1.434349161,0.758121693,0.416666667,0.179012346,1.487179487,0.263157895,0.25,0,0.75,0,0.214285714,0,0.714285714,0,0.857142857,0.596491228,0,0.09375,1.438955479,6.52173913,Hip Hop/Rap,"Dance/Club/Electronic, Pop, Hip Hop/Rap",R&B,"Happy, Party, Melancholic",0.638966084,8.605964661
Calling My Phone,Lil Tjay Featuring 6LACK,hot-100,3,22,[LilTjay6Lack].CallingMyPhone,ABABC,No Pre-Chorus,104.9656906,3:25,Vocals Prevalence,Intro,0:18,Instrumental,3,0,3,0,1,Chorus,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",9,Mixed-Horizontal,1,B Aeolian,Aeolian,0,0.8,6.052631579,0.426086957,0.086956522,0.391304348,0.130434783,"%I, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",3,0,0.017001546,0.00309119,0.034003091,0.00618238,0.004636785,Both,"Infatuation, Romantic, Hedonism, Friendship","Dramatic, Cynical, Happy, Reluctance, Anger, Sad, Bitter",0.055555556,0.183760684,0.326185835,3.666666667,0.573248408,0.78343949,0.949044586,0.003081664,0.050847458,0.044684129,0.00770416,1.537471012,0.376754083,0.667660209,0.236959762,2.038461538,0.08496732,0.054945055,0,0.065934066,0.065934066,0.164285714,0.014285714,0.2,0.071428571,0.65,0.352941176,0.08496732,0.167539267,3.222698923,7.071428571,Hip Hop/Rap,Hip Hop/Rap,Trap,Other,0.884816766,4.053193092
